"lp.","Cena.jednostkowa.netto","Z.powierzchnia.przynalezna","Data.transakcji","Rodzaj.transakcji","Sprzedajacy","Kupujacy","Wojewodztwo","Powiat","Gmina","MiejscowoSÄ.","Obreb","Dzielnica","street","Numer.administracyjny","housenumber","Sposob.uzytkowania.lokalu","Pow..lokalu.obliczeniowa","liczba.pokoi","Stan.techniczny.lokalu","Rok.budowy","Cena.netto","Adres","lon","lat","LiczbaSzkolWPromieniuKilometra","OdlegloscDoNajblizszejSzkoly","LiczbaPrzystankowWPromieniuKilometra","OdlegloscDoNajblizszegoPrzystanku","LiczbaPlacowekMedycznychWObrebieKilometra","OdlegloscDoNajblizszejPlacowkiMedycznej","LiczbaMarketowWObrebieKilometra","OdlegloscDoNajblizszegoMarketu","Odległość.do.centrum.w.m"
2221,2929.69,"Nie",42487,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Obroki","87","7","mieszkalny",38.4,"1","","",112500,"Obroki 87",18.96539,50.2663579,24,0,24,395.754503764827,2,3599.26832028756,2,3599.26832028756,4572
2222,3359.38,"Nie",42642,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","Obroki","87","7","mieszkalny",38.4,"1","","",129000,"Obroki 87",18.96539,50.2663579,24,0,24,395.754503764827,2,3599.26832028756,2,3599.26832028756,4572
2223,129.75,"Nie",42265,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Obroki","87","11","mieszkalny",65.4,"3","","",8485.5,"Obroki 87",18.96539,50.2663579,24,0,24,395.754503764827,2,3599.26832028756,2,3599.26832028756,4572
2224,1343.21,"Nie",42500,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Obroki","90","3","mieszkalny",105.27,"3","","",141400,"Obroki 90",18.965251,50.2670479,19,59.7524185480045,24,363.846806989337,2,3567.52409930099,2,3567.52409930099,4580
2225,2544.53,"Nie",42543,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Obroki","97","3","mieszkalny",66.81,"3","","",170000,"Obroki 97",18.9647914,50.2667807,19,40.1445360980252,22,511.56886022354,2,4009.66981174088,2,4009.66981174088,4606
2226,3906.63,"Nie",42304,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","47a","1","mieszkalny",40.7,"2","","",159000,"Obroki 47a",18.97467,50.2665499,27,1218.11931417826,29,108.516929546555,4,184.613092781873,4,184.613092781873,4043
2227,2816.9,"Nie",42242,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","47a","6","mieszkalny",49.7,"3","","",140000,"Obroki 47a",18.97467,50.2665499,27,1218.11931417826,29,108.516929546555,4,184.613092781873,4,184.613092781873,4043
2228,3299.8,"Nie",42156,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","47a","10","mieszkalny",49.7,"3","","",164000,"Obroki 47a",18.97467,50.2665499,27,1218.11931417826,29,108.516929546555,4,184.613092781873,4,184.613092781873,4043
2229,3778.34,"Nie",42390,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","47b","14","mieszkalny",39.7,"2","","",150000,"Obroki 47b",18.9748719,50.26654,27,1195.44569546494,29,135.260139023436,4,210.553509203825,4,210.553509203825,4058
2230,3526.45,"Nie",42451,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","47c","2","mieszkalny",39.7,"2","","",140000,"Obroki 47c",18.9744205,50.2666055,27,1220.34857895778,28,86.5932082406086,4,147.68599068859,4,147.68599068859,4026
2231,3146.85,"Nie",42250,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","55a","10","mieszkalny",57.2,"3","","",180000,"Obroki 55a",18.971215,50.266151,25,518.433746686379,29,233.098596897816,3,541.357382597698,3,541.357382597698,4210
2232,2866.11,"Nie",42480,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","57c","10","mieszkalny",47.8,"2","","",137000,"Obroki 57c",18.9707213,50.2658725,24,462.894275421877,28,351.194672253961,3,780.790361901679,3,780.790361901679,4295
2233,2569.44,"Nie",42420,"umowa przeniesienia praw","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","57c","12","mieszkalny",57.6,"3","","",148000,"Obroki 57c",18.9707213,50.2658725,24,462.894275421877,28,351.194672253961,3,780.790361901679,3,780.790361901679,4295
2234,2928.87,"Nie",42611,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","57c","14","mieszkalny",47.8,"2","","",140000,"Obroki 57c",18.9707213,50.2658725,24,462.894275421877,28,351.194672253961,3,780.790361901679,3,780.790361901679,4295
2235,2979.27,"Nie",42684,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","59b","17","mieszkalny",38.6,"2","do remontu","",115000,"Obroki 59b",18.9701369,50.2660507,24,291.577618290116,29,340.023093642026,3,898.081304530573,3,898.081304530573,4318
2236,3316.06,"Nie",42410,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","59c","1","mieszkalny",38.6,"2","","",128000,"Obroki 59c",18.9701343,50.2658927,24,334.721208993575,29,383.379669972401,3,961.442503516625,3,961.442503516625,4336
2237,2656.9,"Nie",42571,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","61c","14","mieszkalny",47.8,"2","","",127000,"Obroki 61c",18.9695626,50.2659062,24,245.199758143181,29,279.76148634875,3,1173.43222924403,3,1173.43222924403,4376
2238,3033.47,"Nie",42135,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","63a","6","mieszkalny",47.8,"2","","",145000,"Obroki 63a",18.9689801,50.2661595,24,125.856613204342,30,145.63535373247,3,1332.73338769681,3,1332.73338769681,4391
2239,2758.62,"Nie",42599,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","63a","7","mieszkalny",58,"3","","",160000,"Obroki 63a",18.9689801,50.2661595,24,125.856613204342,30,145.63535373247,3,1332.73338769681,3,1332.73338769681,4391
2240,2331.61,"Nie",42464,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","63b","10","mieszkalny",38.6,"2","","",90000,"Obroki 63b",18.9689752,50.2660547,24,150.97491992414,30,170.816764532902,3,1372.9454955702,3,1372.9454955702,4403
2241,3138.08,"Nie",42373,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Zaleska Halda","Zaleska Halda","Obroki","63c","14","mieszkalny",47.8,"2","","",150000,"Obroki 63c",18.9689689,50.2659224,24,186.553519576556,28,206.472215462591,3,1427.63913790384,3,1427.63913790384,4418
2242,2966.98,"Nie",42349,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Obroki","65C","8","mieszkalny",62.69,"3","","",186000,"Obroki 65C",18.96953,50.266686,25,88.551139653356,29,120.943323532887,3,941.089308366962,3,941.089308366962,4296
2243,2337.2,"Nie",42451,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","3","8","mieszkalny",62.04,"2","","1900-1919",145000,"Odrowazow 3",19.0827129,50.242007,8,200.811722716859,24,348.7373609259,12,4494.89375352824,12,4494.89375352824,6535
2244,2341.19,"Nie",42279,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","5","10","mieszkalny",64.07,"2","","",150000,"Odrowazow 5",19.0821651,50.2418158,8,327.535121144431,25,394.579074432123,12,5105.09469811605,12,5105.09469811605,6553
2245,2366.54,"Nie",42342,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","6","5","mieszkalny",54.51,"2","","",129000,"Odrowazow 6",19.0823389,50.242135,8,212.328202537383,25,274.577046253513,12,4684.40497916793,12,4684.40497916793,6502
2246,2247.19,"Nie",42733,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","7","12","mieszkalny",62.3,"2","","",140000,"Odrowazow 7",19.081874,50.241617,8,445.637373195844,24,481.150692412781,12,5537.29289757818,12,5537.29289757818,6488
2247,3372.68,"Nie",42620,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","8","4","mieszkalny",47.44,"2","","",160000,"Odrowazow 8",19.082193,50.242021,8,262.667894245087,25,310.805341575882,12,4900.618810542,12,4900.618810542,6518
2248,1928.24,"Nie",42482,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","8","7","mieszkalny",59.64,"2","do remontu kapitalnego","",115000,"Odrowazow 8",19.082193,50.242021,8,262.667894245087,25,310.805341575882,12,4900.618810542,12,4900.618810542,6518
2249,2850.44,"Nie",42643,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","8","7","mieszkalny",59.64,"2","","",170000,"Odrowazow 8",19.082193,50.242021,8,262.667894245087,25,310.805341575882,12,4900.618810542,12,4900.618810542,6518
2250,2321.93,"Nie",42572,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","11","6","mieszkalny",63.74,"3","","",148000,"Odrowazow 11",19.080942,50.24118,8,846.784962450609,24,359.250872838792,12,6826.70667162566,12,6826.70667162566,6385
2251,3286.08,"Nie",42486,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","13","3","mieszkalny",38.8,"1","","",127500,"Odrowazow 13",19.0806009,50.241012,8,1031.49054636199,21,261.775046090585,12,7341.24765278083,12,7341.24765278083,6354
2252,2303.3,"Nie",42577,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","15","1","mieszkalny",54.27,"2","do remontu","",125000,"Odrowazow 15",19.080309,50.2409199,7,1176.09833645063,19,195.09839339752,12,7737.71999946289,12,7737.71999946289,6320
2253,2947.37,"Nie",42178,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Myslowice-Las","","Odrowazow","18","9","mieszkalny",42.75,"1","","",126000,"Odrowazow 18",19.080316,50.2411369,8,1061.95958514085,21,211.54941942076,12,7491.1856786549,12,7491.1856786549,6310
2254,4687.25,"Nie",42478,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Koszutka","Okrzei","1","27","mieszkalny",61.87,"2","","",290000,"Okrzei 1",19.018801,50.270298,27,671.907101670983,66,213.425225040823,4,4605.12384230261,4,4605.12384230261,1568
2255,3441.73,"Nie",42671,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Koszutka","Okrzei","1","38","mieszkalny",73.8,"3","","",127000,"Okrzei 1",19.018801,50.270298,27,671.907101670983,66,213.425225040823,4,4605.12384230261,4,4605.12384230261,1568
2257,3759.4,"Nie",42521,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Okrzei","5","98","mieszkalny",50.54,"2","","",190000,"Okrzei 5",19.0188798,50.2707298,27,694.613511744873,65,95.6939540399608,4,3983.92154718902,4,3983.92154718902,1730
2258,3750,"Nie",42759,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","Okrzei","6","5","mieszkalny",44,"2","","",165000,"Okrzei 6",19.0197052,50.2698833,27,640.535295848488,69,251.57774539222,10,5350.4854282568,10,5350.4854282568,1508
2259,3804.15,"Nie",42768,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","Okrzei","9","154","mieszkalny",81.49,"4","","",310000,"Okrzei 9",19.0195194,50.2707634,26,630.781182816003,66,64.9664357978193,3,4004.50684245749,3,4004.50684245749,1682
2260,3648.53,"Nie",42258,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Okrzei","11","162","mieszkalny",32.89,"1","","",120000,"Okrzei 11",19.0198337,50.2707061,26,655.966139246617,66,53.5347263879433,4,4132.78565303175,4,4132.78565303175,1659
2261,3648.53,"Nie",42258,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Okrzei","11","162","mieszkalny",32.89,"1","","",120000,"Okrzei 11",19.0198337,50.2707061,26,655.966139246617,66,53.5347263879433,4,4132.78565303175,4,4132.78565303175,1659
2262,3532.57,"Tak",42501,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Okrzei","11","167","mieszkalny",70.77,"2","","",250000,"Okrzei 11",19.0198337,50.2707061,26,655.966139246617,66,53.5347263879433,4,4132.78565303175,4,4132.78565303175,1659
2263,4089.22,"Nie",42214,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Okrzei","11","188","mieszkalny",53.8,"2","","",220000,"Okrzei 11",19.0198337,50.2707061,26,655.966139246617,66,53.5347263879433,4,4132.78565303175,4,4132.78565303175,1659
2264,2899.3,"Nie",42139,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Ondraszka","11","50","mieszkalny",58.29,"3","","",169000,"Ondraszka 11",18.9961749,50.264541,10,41.0855695955003,31,145.181578763669,9,367.165885609646,9,367.165885609646,2215
2265,2659.12,"Nie",42489,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Ondraszka","19","15","mieszkalny",58.29,"3","","",155000,"Ondraszka 19",18.995703,50.263166,10,158.347717851303,28,685.839835577204,9,1195.75738207921,9,1195.75738207921,2242
2266,2188.18,"Nie",42247,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Opolska","2","3","mieszkalny",137.1,"5","","",3e+05,"Opolska 2",19.015448,50.2604149,63,89.9262669292234,103,75.1115703499225,23,371.334977402693,23,371.334977402693,589
2267,2900.81,"Nie",42615,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Opolska","4","7","mieszkalny",89.63,"2","","",260000,"Opolska 4",19.0151939,50.260551,63,86.8368919971461,103,84.729332328105,23,445.115174798747,23,445.115174798747,613
2268,6446.74,"Nie",42486,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Opolska","17","2","mieszkalny",79.42,"3","","",512000,"Opolska 17",19.0132213,50.2615438,56,413.345922921157,97,193.620060476375,23,533.305330192687,23,533.305330192687,791
2269,4502.48,"Nie",42145,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Opolska","17","24","mieszkalny",111.05,"4","","",5e+05,"Opolska 17",19.0132213,50.2615438,56,413.345922921157,97,193.620060476375,23,533.305330192687,23,533.305330192687,791
2270,4364.53,"Tak",42145,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Centrum","Opolska","17","24","mieszkalny",114.56,"4","","",5e+05,"Opolska 17",19.0132213,50.2615438,56,413.345922921157,97,193.620060476375,23,533.305330192687,23,533.305330192687,791
2271,1318.64,"Nie",42237,"umowa sprzedazy - rynek wtorny","skarb panstwa","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Opolska","27","2","mieszkalny",130.21,"6","do remontu kapitalnego","",171700,"Opolska 27",19.0123142,50.2619496,52,235.739301553472,98,330.966862767615,23,232.752213844147,23,232.752213844147,869
2272,3401.84,"Nie",42353,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Opolska","9a","1","mieszkalny",56.44,"3","","",192000,"Opolska 9a",19.014389,50.261282,58,243.033640134935,97,203.855477658999,23,540.559555981247,23,540.559555981247,706
2273,3968.7,"Nie",42620,"umowa sprzedazy - rynek wtorny","jednostki samorzadowe","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Opolska","9b","14","mieszkalny",35.78,"1","","",142000,"Opolska 9b",19.014564,50.261199,58,216.323373188686,98,186.704201693597,23,514.945835454023,23,514.945835454023,695
2274,4846.56,"Nie",42726,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","Ordona","10","3","mieszkalny",47.25,"2","","",229000,"Ordona 10",19.0264641,50.2688125,31,463.337213417376,59,153.657916830109,12,5546.95659642998,12,5546.95659642998,1493
2275,4897.96,"Nie",42642,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20","52","mieszkalny",34.3,"2","","",168000,"Ordona 20",19.0265987,50.2683561,34,397.142129780553,66,306.464451108272,12,4826.3486165417,12,4826.3486165417,1226
2276,4081.63,"Nie",42578,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20","106","mieszkalny",34.3,"2","","",140000,"Ordona 20",19.0265987,50.2683561,34,397.142129780553,66,306.464451108272,12,4826.3486165417,12,4826.3486165417,1226
2277,3301.71,"Tak",42563,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Ordona","22","74","mieszkalny",52.7,"3","","",174000,"Ordona 22",19.0261256,50.2678209,43,575.993247945211,68,531.901580511509,12,4017.00925921728,12,4017.00925921728,1148
2278,5530.7,"Nie",42551,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Ordona","22","109","mieszkalny",24.59,"1","","",136000,"Ordona 22",19.0261256,50.2678209,43,575.993247945211,68,531.901580511509,12,4017.00925921728,12,4017.00925921728,1148
2279,1127.14,"Nie",42537,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Ordona","16A","98","mieszkalny",43.84,"2","","",49414,"Ordona 16A",19.025644,50.2694911,25,761.393203684651,60,54.6116772624577,13,6715.73147555973,13,6715.73147555973,1365
2280,2889.11,"Nie",42429,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20A","48","mieszkalny",29.94,"1","","",86500,"Ordona 20A",19.0257335,50.2685536,31,685.254803237236,65,257.549289790509,12,5115.27024849894,12,5115.27024849894,1302
2281,3518.63,"Tak",42782,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20A","66","mieszkalny",33.82,"2","","",119000,"Ordona 20A",19.0257335,50.2685536,31,685.254803237236,65,257.549289790509,12,5115.27024849894,12,5115.27024849894,1302
2282,3589.38,"Nie",42338,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20A","108","mieszkalny",27.86,"1","","",1e+05,"Ordona 20A",19.0257335,50.2685536,31,685.254803237236,65,257.549289790509,12,5115.27024849894,12,5115.27024849894,1302
2283,4255.32,"Nie",42781,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20A","113","mieszkalny",42.3,"2","","",180000,"Ordona 20A",19.0257335,50.2685536,31,685.254803237236,65,257.549289790509,12,5115.27024849894,12,5115.27024849894,1302
2284,3049.63,"Nie",42342,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20A","115","mieszkalny",36.07,"2","","",110000,"Ordona 20A",19.0257335,50.2685536,31,685.254803237236,65,257.549289790509,12,5115.27024849894,12,5115.27024849894,1302
2285,4175.37,"Nie",42123,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Ordona","20A","128","mieszkalny",28.74,"1","","",120000,"Ordona 20A",19.0257335,50.2685536,31,685.254803237236,65,257.549289790509,12,5115.27024849894,12,5115.27024849894,1302
2286,4291.59,"Nie",42277,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Ordona","22a","57","mieszkalny",34.02,"2","","",146000,"Ordona 22a",19.0253437,50.2680976,34,839.249275307511,67,445.005104883508,12,4431.96772544728,12,4431.96772544728,1292
2287,4834.46,"Nie",42551,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Ordona","22A","115","mieszkalny",34.13,"2","","",165000,"Ordona 22A",19.0253437,50.2680976,34,839.249275307511,67,445.005104883508,12,4431.96772544728,12,4431.96772544728,1292
2288,3484.26,"Nie",42535,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Ordona","8A","12","mieszkalny",51.46,"1","","",179300,"Ordona 8A",19.0269969,50.2692617,31,328.23495426994,45,71.0765647740584,11,6357.09912569682,11,6357.09912569682,1437
2289,2934.35,"Nie",42480,"umowa sprzedazy - rynek wtorny","spolka","spolka","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Ordona","8A","12","mieszkalny",47.37,"1","","",139000,"Ordona 8A",19.0269969,50.2692617,31,328.23495426994,45,71.0765647740584,11,6357.09912569682,11,6357.09912569682,1437
2290,7565.05,"Nie",42611,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Orkana","12","17A","mieszkalny",70.72,"3","","",535000,"Orkana 12",18.9858689,50.230066,14,422.350084788701,32,546.449368152249,0,NA,0,3000,4718
2291,6174.36,"Nie",42681,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Orkana","12","18A","mieszkalny",40.49,"2","","",250000,"Orkana 12",18.9858689,50.230066,14,422.350084788701,32,546.449368152249,0,NA,0,3000,4718
2292,5409.53,"Nie",42395,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Orkana","20","7B","mieszkalny",58.97,"2","nowy lub odnowiony","lata 2000-2009",319000,"Orkana 20",18.98488,50.2302569,14,381.713814222909,32,290.938607168409,0,NA,0,3000,4776
2293,5797.33,"Nie",42640,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Orkana","25","7","mieszkalny",62.96,"2","","",365000,"Orkana 25",18.984854,50.229328,15,870.975467146993,34,675.601532064206,0,NA,0,3000,5148
2294,4714.94,"Nie",42381,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Orkana","16b","13a","mieszkalny",74.02,"3","nowy lub odnowiony","lata 2000-2009",349000,"Orkana 16b",18.9854959,50.230281,14,334.143543529575,31,392.345215623054,0,NA,0,3000,4750
2295,3301.41,"Tak",42213,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Brynow","Orkana","28b","36","mieszkalny",68.91,"3","","",227500,"Orkana 28b",18.9865173,50.229504,14,744.000476667531,32,669.389804334197,0,NA,0,3000,4700
2296,6494.46,"Nie",42226,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Brynow","Orkana","5C","18","mieszkalny",81.3,"3","","",528000,"Orkana 5C",18.9895149,50.2303039,11,375.382282504714,32,129.223225995818,0,NA,0,3000,4450
2297,2450.98,"Nie",42643,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Szopienice","","Osiedlowa","5","32","mieszkalny",61.2,"3","","",150000,"Osiedlowa 5",19.101152,50.266405,13,493.520100347258,22,880.76200209253,0,NA,0,3000,6224
