"lp.","Cena.jednostkowa.netto","Z.powierzchnia.przynalezna","Data.transakcji","Rodzaj.transakcji","Sprzedajacy","Kupujacy","Wojewodztwo","Powiat","Gmina","MiejscowoSæ","Obreb","Dzielnica","Ulica","Numer.administracyjny","Numer.lokalu","Sposob.uzytkowania.lokalu","Pow..lokalu.obliczeniowa","liczba.pokoi","Stan.techniczny.lokalu","Rok.budowy","Cena.netto","Adres","X","lon","lat"
1593,"1934.62","Nie",42275,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Konckiego","4b","8","mieszkalny","44.97","2","","","87000","Konckiego 4b","",19.017965,50.2526489
1594,"4343.85","Nie",42352,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Konopnickiej","2","18","mieszkalny","43.74","1","","","190000","Konopnickiej 2","",22.556304,51.2432424
1595,"2380.95","Nie",42403,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kopalniana","2C","10","mieszkalny","25.2","1","","","60000","Kopalniana 2C","",20.895021,52.2213409
1596,"4411.76","Nie",42280,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Kopernika","24","8","mieszkalny","85","3","","","375000","Kopernika 24","",19.448254,51.7620979
1597,"1698.3","Nie",42171,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","7","10","mieszkalny","30.03","1","","","51000","Korczaka 7","",19.0839154,50.2686767
1598,"1891.15","Nie",42368,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","16","10","mieszkalny","47.59","1","","","90000","Korczaka 16","",18.939429,53.723635
1599,"2175.81","Nie",42384,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","18","3","mieszkalny","45.96","3","","","100000","Korczaka 18","",19.0848269,50.2697142
1600,"2056.34","Nie",42486,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","18","11","mieszkalny","48.63","1","","","100000","Korczaka 18","",19.0848269,50.2697142
1601,"2613.24","Nie",42548,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","33","3","mieszkalny","51.66","2","","","135000","Korczaka 33","",19.0865227,50.2721841
1602,"2381.63","Nie",42307,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","35","5","mieszkalny","35.27","1","","","84000","Korczaka 35","",19.0866225,50.2723235
1603,"1912.86","Nie",42320,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","35","6","mieszkalny","47.05","2","","","90000","Korczaka 35","",19.0866225,50.2723235
1604,"1827.04","Nie",42318,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Rozdzien","","Korczaka","44","1","mieszkalny","49.26","2","","","90000","Korczaka 44","",18.8552039,50.4560148
1605,"4911.46","Nie",42461,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Centrum","Korfantego","8","83","mieszkalny","27.67","1","","","135900","Korfantego 8","",19.0215751,50.262465
1606,"2315.79","Nie",42520,"umowa przeniesienia praw","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Korfantego","30","33","mieszkalny","47.5","2","do remontu kapitalnego","","110000","Korfantego 30","",18.910936,50.3011386
1607,"3350.79","Nie",42380,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Centrum","Korfantego","32","45","mieszkalny","57.3","4","","","192000","Korfantego 32","",19.0213111,50.2642661
1608,"3477.4","Nie",42321,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Gorne Lasy Pszczynskie","","Kornaszewskiego","1A","12","mieszkalny","60.39","3","","","210000","Kornaszewskiego 1A","",17.379196,50.316593
1609,"3258.69","Nie",42654,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","1","14","mieszkalny","51.8","2","","","168800","Koszalinska 1","",15.58604,54.175266
1610,"2657.56","Tak",42241,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","4","19","mieszkalny","47.6","2","","","126500","Koszalinska 4","",15.6071784,54.1768389
1611,"3015.35","Nie",42408,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","5","6","mieszkalny","36.48","2","","","110000","Koszalinska 5","",17.0002159,54.456058
1612,"4515.24","Tak",42557,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","18","4","mieszkalny","36.1","1","","","163000","Koszalinska 18","",18.0526719,53.127434
1613,"2798.51","Nie",42235,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","22","1","mieszkalny","53.6","3","","","150000","Koszalinska 22","",16.6842055,53.7125524
1614,"3447.58","Nie",42495,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","22","11","mieszkalny","49.31","2","","","170000","Koszalinska 22","",16.6842055,53.7125524
1615,"3769.72","Nie",42300,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","24","86","mieszkalny","48.81","2","","","184000","Koszalinska 24","",15.587047,54.176071
1616,"1129.18","Nie",42795,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","26","8","mieszkalny","44.28","2","","","50000","Koszalinska 26","",16.6841879,53.7132642
1617,"2247.19","Nie",42282,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota Stara","Koszalinska","32","12","mieszkalny","46.28","2","","","104000","Koszalinska 32","",15.5900734,54.1765527
1618,"5055.79","Nie",42185,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","35","7","mieszkalny","28.68","1","","","145000","Koszalinska 35","",16.6852009,53.7129914
1619,"3837.09","Nie",42121,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Janow-Nikiszowiec","Koszalinska","35","8","mieszkalny","29.71","1","","","114000","Koszalinska 35","",16.6852009,53.7129914
1620,"3422.35","Nie",42779,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","42","46","mieszkalny","50.55","3","do remontu","","173000","Koszalinska 42","",18.971705,50.221615
1621,"2746.08","Tak",42591,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","2c","4","mieszkalny","51.71","2","","","142000","Koszalinska 2c","",18.971899,50.2250815
1622,"2204.6","Tak",42580,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","2c","4","mieszkalny","51.71","2","","","114000","Koszalinska 2c","",18.971899,50.2250815
1623,"2952.09","Tak",42199,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Ligota","Koszalinska","2c","9","mieszkalny","59.28","3","","","175000","Koszalinska 2c","",18.971899,50.2250815
1624,"3847.52","Nie",42419,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie","Centrum","Koszarowa","13","12","mieszkalny","84.47","3","","","325000","Koszarowa 13","",19.001151,50.2536599
1625,"3868.47","Nie",42429,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie","Centrum","Koszarowa"," 12a","17","mieszkalny","51.7","2","","","200000","Koszarowa  12a","",22.2281439,50.9286432
1626,"1087.82","Nie",42473,"umowa sprzedazy - rynek wtorny","jednostki samorzadowe","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Koszarowa","12a","13","mieszkalny","48.34","2","","","52585.2","Koszarowa 12a","",22.2281439,50.9286432
1627,"1061.32","Nie",42226,"umowa sprzedazy - rynek pierwotny","jednostki samorzadowe","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Koszarowa","12f","53","mieszkalny","60.4","3","","","64104","Koszarowa 12f","",19.000493,50.25219
1628,"286.27","Nie",42446,"umowa sprzedazy - rynek wtorny","skarb panstwa","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Koszarowa","5a","1","mieszkalny","32.38","1","","","9269.4","Koszarowa 5a","",19.0018087,50.2539364
1629,"299.12","Nie",42522,"umowa sprzedazy - rynek wtorny","skarb panstwa","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Koszarowa","5c","31","mieszkalny","32.72","1","","","9787.2","Koszarowa 5c","",19.001561,50.2541699
1630,"993.54","Tak",42219,"umowa sprzedazy - rynek pierwotny","jednostki samorzadowe","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Koszarowa","8a","21","mieszkalny","49.4","2","","","49080.8","Koszarowa 8a","",17.0660439,51.140637
1631,"3550.68","Tak",42475,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Koszarowa","8b","9","mieszkalny","46.47","2","","","165000","Koszarowa 8b","",19.001286,50.2530129
1632,"5602.84","Nie",42739,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","11","6","mieszkalny","56.4","2","","","316000","Koszykowa 11","",21.020284,52.2215689
1633,"5916.47","Tak",42123,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","18","9","mieszkalny","60.34","3","","","357000","Koszykowa 18","",21.020627,52.2217683
1634,"3501.11","Nie",42150,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21","6","mieszkalny","64.9","2","stan developerski","lata 2010-2019","227222.22","Koszykowa 21","",21.0199462,52.2217237
1635,"4095.45","Nie",42139,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","28","1","mieszkalny","46.8","2","stan developerski","lata 2010-2019","191667","Koszykowa 28","",21.018182,52.2223959
1636,"3558.72","Nie",42459,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21b","7","mieszkalny","28.1","pokoj z aneksem kuchennym:1","","lata 2010-2019","100000","Koszykowa 21b","",18.2008449,50.343015
1637,"3790.46","Nie",42691,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21c","1","mieszkalny","48.2","1","stan developerski","lata 2010-2019","182700","Koszykowa 21c","",18.2009109,50.3429299
1638,"3752.21","Nie",42428,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21c","2","mieszkalny","64.9","3","stan developerski","lata 2010-2019","243518.52","Koszykowa 21c","",18.2009109,50.3429299
1639,"3953.05","Nie",42496,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21c","3","mieszkalny","60.9","2","stan developerski","lata 2010-2019","240740.74","Koszykowa 21c","",18.2009109,50.3429299
1640,"3699.42","Nie",42139,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21c","8","mieszkalny","64.9","3","stan developerski","lata 2010-2019","240092.6","Koszykowa 21c","",18.2009109,50.3429299
1641,"3945.69","Nie",42384,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21d","4","mieszkalny","56.4","1","stan developerski","lata 2010-2019","222537.04","Koszykowa 21d","",21.0199462,52.2217237
1642,"3940.11","Nie",42496,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21d","7","mieszkalny","56.4","1","stan developerski","lata 2010-2019","222222.22","Koszykowa 21d","",21.0199462,52.2217237
1643,"3940.11","Nie",42502,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21d","8","mieszkalny","56.4","1","stan developerski","lata 2010-2019","222222.22","Koszykowa 21d","",21.0199462,52.2217237
1644,"3471.15","Nie",42334,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21e","2","mieszkalny","64.9","3","stan developerski","lata 2010-2019","225277.78","Koszykowa 21e","",21.0199462,52.2217237
1645,"3826.32","Nie",42131,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21e","5","mieszkalny","66.3","2","stan developerski","lata 2010-2019","253685.19","Koszykowa 21e","",21.0199462,52.2217237
1646,"3600.98","Nie",42306,"umowa sprzedazy - rynek pierwotny","developer","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Panewniki","Koszykowa","21e","6","mieszkalny","64.9","3","stan developerski","lata 2010-2019","233703.7","Koszykowa 21e","",21.0199462,52.2217237
1647,"2925.58","Nie",42285,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","KoSciuszki","4","6","mieszkalny","109.38","3","","","320000","KoSciuszki 4","",19.0198853,50.2565254
1648,"1918.05","Tak",42299,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","KoSciuszki","12","16","mieszkalny","114.7","3","","","220000","KoSciuszki 12","",17.0281753,51.10332
1649,"2764.98","Nie",42138,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","KoSciuszki","14","5","mieszkalny","71.61","3","","","198000","KoSciuszki 14","",19.454358,51.7678819
1650,"3630.28","Nie",42257,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","KoSciuszki","38","20","mieszkalny","152.56","2","","","553836","KoSciuszki 38","",19.0161297,50.2526876
1651,"0","Nie",42286,"umowa sprzedazy - rynek wtorny","osoba fizyczna","partia / stowarzyszenie / zwiazek / koSciol","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","KoSciuszki","46","3","mieszkalny","92.45","3","","","0","KoSciuszki 46","",19.4551721,51.7640693
1652,"2584.51","Tak",42766,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","KoSciuszki","46","10","mieszkalny","96.73","3","","","250000","KoSciuszki 46","",19.4551721,51.7640693
1653,"1824.48","Tak",42503,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Zawodzie","KoSciuszki","52","1","mieszkalny","106.88","3","","","195000","KoSciuszki 52","",19.0145468,50.2509349
1654,"3074.09","Tak",42601,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","KoSciuszki","59","6","mieszkalny","38.06","1","","","117000","KoSciuszki 59","",15.8920345,51.4024774
1655,"2404.61","Nie",42775,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","KoSciuszki","59","7","mieszkalny","147.55","5","","","354800","KoSciuszki 59","",15.8920345,51.4024774
1656,"6587.62","Nie",42167,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","","KoSciuszki","164","1","mieszkalny","75.9","3","","","500000","KoSciuszki 164","",18.9989451,50.232323
1657,"2533.04","Nie",42740,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","KoSciuszki","10-12","29","mieszkalny","36.32","2","","","92000","KoSciuszki 10-12","",21.8063682,53.6295802
1658,"6317.37","Nie",42563,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","","KoSciuszki","171A","1","mieszkalny","79.44","3","stan developerski","lata 2010-2019","501851.85","KoSciuszki 171A","",18.9973819,50.2324244
1659,"6461.65","Nie",42404,"umowa sprzedazy - rynek pierwotny","spolka","spolka","Slaskie","Katowice","Katowice","Katowice","Ligota","","KoSciuszki","171A","8","mieszkalny","132.07","4","stan developerski","","853390.74","KoSciuszki 171A","",18.9973819,50.2324244
1660,"6288.42","Nie",42178,"umowa sprzedazy - rynek pierwotny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","","KoSciuszki","171A","10","mieszkalny","114.96","3","stan developerski","","722916.38","KoSciuszki 171A","",18.9973819,50.2324244
1661,"6364.09","Nie",42173,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","KoSciuszki","223b","6","mieszkalny","59.71","2","","","380000","KoSciuszki 223b","",18.9901764,50.2255126
1662,"3992.45","Nie",42411,"umowa sprzedazy - rynek wtorny","osoba fizyczna","spolka","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice","KoSciuszki","223b","7","mieszkalny","68.88","1","","","275000","KoSciuszki 223b","",18.9901764,50.2255126
1663,"1604.62","Nie",42552,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","KoSciuszki","42A","2","mieszkalny","124.64","4","","","200000","KoSciuszki 42A","",18.916342,50.190267
1664,"","Tak",42268,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","KoSciuszki (Powstancow)","38 i 2","13","mieszkalny","90.92","2","","","","KoSciuszki (Powstancow) 38 i 2","",17.809566,51.640772
1665,"3293.08","Nie",42738,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","KoSciuszki Tadeusza ","59","8","mieszkalny","36.44","1","","","120000","KoSciuszki Tadeusza  59","",15.3758489,51.0655505
1666,"3629.5","Nie",42545,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Ligota","Piotrowice-Ochojec","KoSciuszki Tadeusza ","223b","7","mieszkalny","68.88","1","","","250000","KoSciuszki Tadeusza  223b","",18.9901764,50.2255126
1667,"3995.43","Nie",42348,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","9","8","mieszkalny","43.8","2","","","175000","Kotlarza 9","",19.008501,50.279624
1668,"3596.38","Nie",42270,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Kotlarza","11","6","mieszkalny","48.66","3","","","175000","Kotlarza 11","",19.008904,50.279883
1669,"3180.07","Nie",42527,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Jozefowiec","Kotlarza","15","7","mieszkalny","49.37","3","","","157000","Kotlarza 15","",19.009706,50.2803799
1670,"3590.58","Nie",42383,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Kotlarza","15b","38","mieszkalny","42.89","2","","","154000","Kotlarza 15b","",19.0096445,50.280401
1671,"3342.11","Nie",42338,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Kotlarza","15b","43","mieszkalny","49.37","3","","","165000","Kotlarza 15b","",19.0096445,50.280401
1672,"3355.7","Nie",42206,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","5A","22","mieszkalny","59.6","4","","","200000","Kotlarza 5A","",19.0069015,50.2795614
1673,"3022.67","Nie",42681,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","7A","15","mieszkalny","59.55","3","","","180000","Kotlarza 7A","",19.0080609,50.2794339
1674,"3607.21","Nie",42681,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Kotlarza","7A","15","mieszkalny","49.9","3","","","180000","Kotlarza 7A","",19.0080609,50.2794339
1675,"3557.31","Nie",42142,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","7C","4","mieszkalny","50.6","2","","","180000","Kotlarza 7C","",19.0080481,50.2793992
1676,"3220","Nie",42801,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","7C","12","mieszkalny","50","3","","","161000","Kotlarza 7C","",19.0080481,50.2793992
1677,"3223.96","Tak",42235,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","7E","15","mieszkalny","52.42","3","","","169000","Kotlarza 7E","",19.0073599,50.279794
1678,"1738.46","Nie",42425,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","9A","8","mieszkalny","32.5","1","","","56500","Kotlarza 9A","",19.0076334,50.2800854
1679,"3454.36","Nie",42660,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","9C","6","mieszkalny","48.2","3","","","166500","Kotlarza 9C","",19.0085061,50.279617
1680,"3364.27","Nie",42251,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Kotlarza","9E","2","mieszkalny","43.1","2","","","145000","Kotlarza 9E","",19.007781,50.280063
1681,"3607.21","Nie",42681,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","Kotlarza","7","15","mieszkalny","49.9","3","","","180000","Kotlarza (Szczecinska) 7","",19.008202,50.279344
1682,"1063.26","Nie",42604,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Kowalska","4","4","mieszkalny","37.15","1","","","39500","Kowalska 4","",22.5678365,51.2499549
1683,"2167.39","Nie",42416,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","","Kozielska","10","3","mieszkalny","59.98","2","","","130000","Kozielska 10","",19.010291,50.2559459
1684,"2617.54","Nie",42695,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","SrodmieScie","Kozielska","10","3","mieszkalny","59.98","2","","","157000","Kozielska 10","",19.010291,50.2559459
1685,"1333.42","Nie",42215,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Szopienice","","Krakowska","154","6","mieszkalny","52.08","2","","","69444.44","Krakowska 154","",21.9527809,50.062148
1686,"527.11","Nie",42440,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Szopienice","","Krakowska","154","7","mieszkalny","66.4","2","do remontu kapitalnego","","35000","Krakowska 154","",21.9527809,50.062148
1687,"871.71","Nie",42440,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Szopienice","","Krakowska","154","8","mieszkalny","30.4","1","do remontu kapitalnego","","26500","Krakowska 154","",21.9527809,50.062148
1688,"2887.14","Nie",42391,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","Krakowska","58A","13","mieszkalny","38.1","1","","","110000","Krakowska 58A","",20.008132,49.4948659
1689,"3836.19","Nie",42739,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Krasinskiego","26","17","mieszkalny","50.18","2","","","192500","Krasinskiego 26","",20.9739258,52.2661081
1690,"3459.66","Nie",42585,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","","","Krasinskiego","26","26","mieszkalny","63.59","3","","","220000","Krasinskiego 26","",20.9739258,52.2661081
