name,type,lat,lon
NA,NA,50.2706917,19.0412928
NA,NA,50.2706937,19.0413003
NA,NA,50.2707395,19.0412359
NA,NA,50.2708198,19.0411685
NA,NA,50.27093,19.0419834
NA,NA,50.2709808,19.0419411
NA,NA,50.2709833,19.0419472
NA,NA,50.270993,19.0419496
NA,NA,50.2709964,19.0419358
NA,NA,50.270999,19.0419441
NA,NA,50.2710534,19.0421312
NA,NA,50.2710652,19.0418898
NA,NA,50.2713372,19.0416694
NA,NA,50.2713979,19.0418515
NA,NA,50.2707288,19.0414018
NA,NA,50.2762076,19.0664466
NA,NA,50.2762793,19.0666799
NA,NA,50.2763402,19.0667275
NA,NA,50.2763662,19.0667083
NA,NA,50.276614,19.0665273
NA,NA,50.27652,19.0662172
NA,NA,50.276273,19.0666595
NA,NA,50.28949,19.075192
NA,NA,50.2895132,19.0747646
NA,NA,50.2897233,19.0747926
NA,NA,50.2897001,19.07522
NA,NA,50.2894189,19.0823906
NA,NA,50.2894517,19.0827578
NA,NA,50.28966,19.0823379
NA,NA,50.2897905,19.0823093
NA,NA,50.2898405,19.0822984
NA,NA,50.2898733,19.0826657
NA,NA,50.3010882,19.000921
NA,NA,50.3010496,19.0003088
NA,NA,50.3014754,19.0008655
NA,NA,50.3014622,19.00064
NA,NA,50.3014396,19.0002529
NA,NA,50.3009588,19.000478
NA,NA,50.3009856,19.0009357
NA,NA,50.3010586,19.0004637
NA,NA,50.3011029,19.0003012
NA,NA,50.3013698,19.0002629
NA,NA,50.300671,19.0021898
NA,NA,50.3006764,19.0024649
NA,NA,50.3007059,19.0025678
NA,NA,50.3007073,19.0026425
NA,NA,50.3007215,19.0021874
NA,NA,50.3007156,19.0018886
NA,NA,50.3007303,19.0024623
NA,NA,50.3007323,19.0025665
NA,NA,50.3008752,19.0017925
NA,NA,50.3008769,19.0018809
NA,NA,50.3009482,19.001789
NA,NA,50.3009647,19.0026302
NA,NA,50.3007205,19.0021361
NA,NA,50.3045347,19.0052051
NA,NA,50.3047077,19.0052135
NA,NA,50.3003794,19.0147409
NA,NA,50.3003832,19.0151858
NA,NA,50.3006363,19.0147333
NA,NA,50.3006418,19.0151782
NA,NA,50.3020391,19.0172082
NA,NA,50.3020351,19.0173993
NA,NA,50.3045237,19.0057524
NA,NA,50.3046967,19.0057609
NA,NA,50.303268,19.0137026
NA,NA,50.3032753,19.0121489
NA,NA,50.3036983,19.0137075
NA,NA,50.3037055,19.0121538
NA,NA,50.3033886,19.0121502
NA,NA,50.3034724,19.0121511
NA,NA,50.3028026,19.017806
NA,NA,50.3027908,19.0171836
NA,NA,50.302657,19.0173808
NA,NA,50.3026688,19.0178244
NA,NA,50.303068,19.0120562
NA,NA,50.3028736,19.0120562
NA,NA,50.3028872,19.0127287
NA,NA,50.3030816,19.0126933
NA,NA,50.3040736,19.0303168
NA,NA,50.3040953,19.0298183
NA,NA,50.3041186,19.0298235
NA,NA,50.3041191,19.0295574
NA,NA,50.3042253,19.0304299
NA,NA,50.3042323,19.0303523
NA,NA,50.3042968,19.030446
NA,NA,50.3043729,19.0296142
NA,NA,50.2454964,19.0904106
NA,NA,50.2457037,19.0915868
NA,NA,50.2452058,19.0910942
NA,NA,50.245959,19.091266
NA,NA,50.2451944,19.0909759
NA,NA,50.2452384,19.0910333
NA,NA,50.2456541,19.0916797
NA,NA,50.2457532,19.0916513
NA,NA,50.2460113,19.0910831
NA,NA,50.2458055,19.0908143
NA,NA,50.2459871,19.0911283
NA,NA,50.2460031,19.0911608
