name,lat,lon
Apteka Wawel,50.2775902,19.1471663
Apteka Świat Zdrowia,50.2772415,19.1535962
NA,50.2872591,19.1217853
Centrum leczenia chorób żył i tęrnic,50.2564856,19.020055
NZOZ REVITAL System Medyczny,50.1836977,18.9982638
Apteka NOWA Św. BARBARY,50.2551246,18.9044459
Apteka „FARMAKON”,50.2671444,18.8989112
Apteka „Parentibus Meis”,50.2669478,18.8956014
Apteka „Na Wita Stwosza”,50.2729546,18.8955645
Apteka Europejska,50.2713187,19.0056983
STOMA s.c.,50.2957537,18.9552297
Apteka Główna,50.2948216,18.9494729
Apteka Zdrowit,50.2598639,19.0146666
Apteka na Dworcu,50.2581852,19.016541
Konopna Farmacja,50.2599472,19.0155333
Niezapominajka,50.2972236,18.9514047
Super-Pharm,50.2589055,19.0165733
Zetto Apteka,50.2951443,18.9493915
Ziko Apteka,50.2596161,19.0199621
Apteka książęca,50.2311563,18.9521356
Lux Med,50.2457194,19.035529
dermatolog kardiolog,50.2803469,19.1334414
nzoz dental serwis,50.2787054,19.1312957
Luxmed,50.2855819,19.0148638
apteka ,50.2481981,19.0320877
Pracownia Stomatologiczna Dagmara Kubiak,50.1882947,19.1008523
NA,50.2482151,19.0320434
Halovita grota solna,50.3048286,19.0954592
Vita,50.2906324,18.9233969
Górnośląski Ośrodek Kardiologii,50.2117902,19.0008886
Specjalistyczny Szpital Wieloprofilowy,50.2108482,18.9983175
NA,50.3056568,19.0260708
Dilmed S.C.,50.2609043,19.0526861
Ziko,50.2590181,19.0537289
Dentomed Stomatologia i Lekarze Specjaliści,50.3197707,19.0083232
NA,50.2624142,19.0567994
Apteka Bracka,50.2790172,19.0089333
NZOZ Agmed,50.2679789,19.0212547
Centrum Stomatologii Help,50.2706454,19.0206183
Centrum Stomatologii NEOMED,50.2678535,19.0218392
Premium-Lek,50.2708637,19.0226698
Prywatne Centrum Medyczne NZOZ,50.2788648,19.0090623
Przychodnia Bracka przy GIG,50.2718832,19.0252898
NA,50.2119198,18.9980585
Duda Clinic,50.1990266,19.0535283
NA,50.2119141,19.0013504
Melisa Pharm,50.253993,19.0330939
Apteka,50.2987758,19.0029748
Euro Apteka,50.3013286,18.9998872
Lekarz Alicja Dreksler-Tkacz,50.2754804,19.0226749
Akademia Zdrowia centrum rehabilitacji,50.2772037,19.0161154
Ginekolog lek. med. Danuta Bełkowska-Śliż,50.2791519,19.0156738
Neurolog lek. med. Anna Maria Janda,50.2791526,19.0157164
Magiczna,50.2970716,18.9356408
Apteka Dbam o Zdrowie,50.3213907,19.134134
Apteka Słoneczna,50.3198671,19.1345948
NA,50.3216137,19.1316041
Apteka,50.2728667,18.9986227
NA,50.3204939,19.1744665
PERSEVERE,50.2363755,18.9932498
NA,50.3040567,19.005351
Medica Dental,50.2817486,18.9595971
Twoje Zdrowie - Chirurgia Krótkoterminowa,50.2423852,18.9921781
Dr. Max,50.2423225,18.992459
PAULINKA NIZIŃSKA,50.2641911,18.9743754
Dr. Max,50.320918,19.0699841
Poliklinika Doktora Bessera. NZOZ,50.2963691,19.1327168
Okulista dr hab. n. med. Erita Filipek,50.283855,19.0131544
Balance Usługi Psychologiczne,50.2705854,19.0211319
Izba Przyjęć,50.2109411,18.998785
Przychodnie Specjalistyczne,50.2110768,18.9975883
NA,50.2921348,18.9157514
Euro apteka,50.3047786,18.917184
Rewadent,50.2860371,19.0144948
Kardiolog dr n. med. Daniel Jakubowski,50.2755778,18.9820792
Stomatolog lek. dent. Marek Kowalczewski,50.2755651,18.9821291
NA,50.2761683,19.0093294
Apteka Nova,50.2754636,19.1138159
Osiedlowe Centrum Stomatologii,50.281926,19.0149675
Apteka Centrum,50.2831717,19.0147067
NZOZ Orto-Medic,50.2755823,19.0047292
NZOZ Medina,50.2769806,19.0106301
Imperium Słońca,50.297776,19.0085057
Psychoterapeuta mgr Janina Ceglarek,50.255875,19.0285293
Ortopeda dr S. Maj,50.2558815,19.0284309
Psycholog dr n. hum. Aleksandra Szczepaniak,50.2558513,19.0285742
Gabinet psychoterapii Agnieszka Bojko,50.2558688,19.0286173
Psychiatra lek. med. Anna Lubońska-Dobrzańska,50.2559051,19.0284791
Gimnastyka korekcyjna lecznicza mgr J. Gumińska,50.2558996,19.0285649
studio optyczne 44,50.2573976,19.0255594
AktivMed,50.2576501,19.0253074
Stomatolog dr n. med. Jadwiga Dyduch,50.2820273,18.964757
Stomatologia dr Michał Knast,50.2770106,19.0308956
NA,50.1754975,18.9062715
NA,50.17554,18.9056196
NA,50.1755382,18.9059991
NA,50.173414,18.90632
NA,50.173418,18.9062131
NA,50.1734398,18.9063051
NA,50.1734408,18.9064326
NA,50.1734663,18.9064178
NA,50.1734898,18.9065164
NA,50.1735621,18.9061296
NA,50.1735866,18.9063286
NA,50.1736067,18.9063169
NA,50.1736141,18.9064443
NA,50.1740858,18.905676
NA,50.1740875,18.9055412
NA,50.1744363,18.9052232
NA,50.1744552,18.9052744
NA,50.1747608,18.9049105
NA,50.1747677,18.9049913
NA,50.174823,18.905897
NA,50.1749818,18.9057272
NA,50.1752683,18.9059159
NA,50.1752942,18.9060884
NA,50.1754185,18.9044037
NA,50.1754789,18.9049644
NA,50.1744116,18.9055811
NA,50.1744157,18.9053906
NA,50.1744579,18.905715
NA,50.1744665,18.9055344
NA,50.1745047,18.9053129
NA,50.1745062,18.9053129
NA,50.1745167,18.9052746
NA,50.1745183,18.9053019
NA,50.1745564,18.9054521
NA,50.1745676,18.9052639
NA,50.174574,18.9052844
NA,50.1745745,18.9054362
NA,50.1745888,18.9057407
NA,50.1746069,18.9057647
NA,50.174608,18.9057533
NA,50.1746131,18.9055859
NA,50.1746138,18.9057491
NA,50.174614,18.9057428
NA,50.1746232,18.9055756
NA,50.1746234,18.9056731
NA,50.1746322,18.9054564
NA,50.1746331,18.9054583
NA,50.1746452,18.9054489
NA,50.1746459,18.9054479
NA,50.1746483,18.9057743
NA,50.1746675,18.9057718
NA,50.1746721,18.9055257
NA,50.1746875,18.9057651
NA,50.1747012,18.9054004
NA,50.174704,18.9057555
NA,50.1747083,18.9054167
NA,50.1747163,18.9054128
NA,50.1747174,18.9054125
NA,50.1747259,18.9057376
NA,50.1747312,18.9051312
NA,50.1747313,18.9051251
NA,50.1747351,18.9051444
NA,50.1747362,18.9051419
NA,50.1747437,18.9051135
NA,50.1747526,18.9053553
NA,50.1747532,18.9053541
NA,50.174755,18.9057027
NA,50.1747594,18.9053772
NA,50.1747635,18.9057164
NA,50.1747673,18.9053422
NA,50.1747684,18.9053444
