"names","lat","lon"
"Będzin Stadion",50.3196954,19.1246404
"Będzin Zamek",50.3250276,19.1277491
"Sielec Osiedle Zamkowa",50.2863354,19.1492031
"Sielec Wawel Kościół",50.2787761,19.1458922
"Sielec Wawel Kościół",50.2788545,19.1459465
"Józefów Jaworowa",50.3150611,19.1796785
"Będzin Krasickiego",50.3141888,19.1290011
"Będzin Krasickiego",50.3146202,19.1275776
"Będzin Krasickiego",50.3146632,19.1278776
"Będzin Małachowskiego",50.3255321,19.1345616
"Będzin Urząd Miasta",50.322728,19.1281283
"Będzin Sienkiewicza",50.3196639,19.1366163
"Osiedle Syberka Kościół",50.3192733,19.1142094
"Osiedle Syberka Kościół",50.3195681,19.1153501
"Osiedle Syberka Ośrodek Zdrowia",50.3231646,19.1178799
"Osiedle Syberka Ośrodek Zdrowia",50.323795,19.118293
"Osiedle Syberka Pawilony",50.3205127,19.1180408
"Osiedle Syberka Piłsudskiego",50.3155538,19.115753
"Osiedle Syberka Piłsudskiego",50.3158629,19.1167398
"Osiedle Syberka",50.3237075,19.1106683
"Będzin Cmentarz Komunalny",50.3047355,19.1376027
"Będzin Krasickiego",50.3145422,19.1277452
"Będzin Stadion",50.319573,19.124585
"Będzin Szybowa",50.3105528,19.132447
"Milowice Zakłady Mięsne",50.2892737,19.087908
"Modrzejów Pastewna",50.2408978,19.1478823
"Niwka Kościół",50.2389029,19.1570576
"Niwka Kościół",50.2393056,19.1582187
"Niwka Pawiak",50.2507882,19.164834
"Piaski Centrum Handlowe",50.3222759,19.1025767
"Sosnowiec Brynica",50.2743643,19.1146787
"Szopienice Morawa",50.2633006,19.1068526
"Zagórze Małe",50.2968199,19.1735741
"Zagórze Pętla",50.294822,19.179658
"Będzin Cmentarz Komunalny",50.3048033,19.1378244
"Będzin Cmentarz Komunalny",50.3048332,19.1375222
"Będzin Szybowa",50.3106822,19.1324368
"Będzin Szybowa",50.3104939,19.1323282
"Będzin Słowiańska",50.3083201,19.1371736
"Będzin Słowiańska",50.3084492,19.1374241
"Czeladź Stare Miasto",50.3192435,19.0704434
"Czeladź Stare Miasto",50.3194848,19.0702197
"Czeladź Cmentarz",50.3130696,19.0720675
"Czeladź Osiedle Słoneczne",50.3116605,19.0836297
"Czeladź Park",50.3126106,19.0703723
"Czeladź Reymonta",50.3081385,19.0725373
"Czeladź Staszica",50.3189942,19.0644384
"Dąbrowa Górnicza Huta Bankowa",50.3249965,19.174751
"Dąbrowa Górnicza Huta Bankowa",50.3251707,19.1746747
"Dąbrowa Górnicza Urząd Pracy",50.3239992,19.16758
"Milowice Centrum Handlowe",50.2858178,19.1015856
"Piaski Centrum Handlowe",50.3216912,19.0999024
"Piaski Żeromskiego",50.3093441,19.0913008
"Pogoń Akademiki",50.2978718,19.1343802
"Pogoń Akademiki",50.2988985,19.1345645
"Pogoń Aleja Mireckiego",50.2864898,19.1221779
"Pogoń Grota-Roweckiego",50.286601,19.1244358
"Pogoń Grota-Roweckiego",50.2870816,19.1216856
"Pogoń Klub Kiepury",50.2917036,19.1328408
"Pogoń Kościół",50.290187,19.1327648
"Pogoń Orla",50.2860735,19.1322141
"Pogoń Orla",50.2865396,19.1320847
"Rudna Prema-Milmet",50.2886455,19.1124162
"Rudna Prema-Milmet",50.2890093,19.111928
"Bogucice Cmentarz",50.272407,19.0475764
"Bogucice Kościół",50.2694558,19.0366725
"Będzin Niemcewicza n/ż",50.305735,19.1276458
"Będzin Osiedle 27 Stycznia n/ż",50.3064718,19.1319206
"Czeladź Józefów",50.2984429,19.0735982
"Dąbrówka Mała Le Ronda",50.2742905,19.0566222
"Dąbrówka Mała Nowosam n/ż",50.2789518,19.0817321
"Dąbrówka Mała Oczyszczalnia",50.2826053,19.0711782
"Dąbrówka Mała Ośrodek Zdrowia",50.2768928,19.0672582
"Dąbrówka Mała Pod Młynem",50.2780583,19.0697881
"Katowice Rondo",50.2663141,19.0238923
"Katowice Sokolska",50.2643292,19.0183081
"Koszutka Katowicka",50.2699279,19.0264287
"Milowice Most",50.2915933,19.0732517
"Nowy Będzin Dworzec PKP",50.3090322,19.1403779
"Pogoń Sucha",50.2957615,19.1271038
"Rudna Gospodarcza I",50.2897061,19.1178039
"Rudna Gospodarcza II",50.2947898,19.1210401
"Sosnowiec Szpital Wojewódzki",50.3053726,19.1229455
"Czeladź Stacja Pomp n/ż",50.3197104,19.0567089
"Klimontów Fińskie Domki",50.2771831,19.185376
"Zagórze Droga do Klimontowa",50.2799912,19.1751929
"Zagórze Droga do Klimontowa",50.2796012,19.1748188
"Zagórze Osiedle",50.289683,19.1803868
"Zagórze Pekin",50.2860497,19.1786204
"Zagórze Pekin",50.2845087,19.1774467
"Brynów Rzepakowa n/ż",50.2229293,18.9939742
"Brynów Cefarm n/ż",50.2246483,18.9920285
"Brynów Dworska",50.2326753,18.9956494
"Brynów Kościuszki",50.2269823,18.9944584
"Czeladź Tuwima",50.323271,19.0728602
"Czeladź Urząd Miasta",50.315836,19.0704659
"Czeladź Zespół Szkół",50.3217239,19.0780136
"Czeladź Zespół Szkół",50.3212575,19.0776011
"Katowice Chorzowska",50.2660505,19.0191518
"Katowice Mikołowska Sąd",50.2568053,19.0130153
"Katowice Mikołowska",50.2527843,19.008771
"Katowice Mikołowska",50.2545303,19.0104642
"Katowice Plac Wolności",50.2600178,19.0140288
"Katowice Plac Wolności",50.2603142,19.0128498
"Piotrowice Barcelońska",50.2064841,18.9638782
"Piotrowice Pętla",50.2008337,18.9632867
"Piotrowice Skrzyżowanie",50.2085909,18.97539
"Piotrowice Tyska",50.2111355,18.9849231
"Dańdówka Osiedle",50.2623111,19.1734033
"Dańdówka Skrzyżowanie",50.2681319,19.1769202
"Dańdówka Skrzyżowanie",50.2681629,19.1766035
"Dańdówka Skrzyżowanie",50.2687941,19.1759596
"Dańdówka Skrzyżowanie",50.2690462,19.1757724
"Kolonia Stawiska",50.2507368,19.110253
"Modrzejów Rynek",50.2414362,19.1494523
"Mysłowice Bończyka",50.2486583,19.119036
"Mysłowice Katowicka",50.2423749,19.1351949
"Mysłowice Kopalnia",50.245646,19.130649
"Mysłowice Kościół",50.2421227,19.1382335
"Mysłowice Kościół",50.2423722,19.1390871
"Niwka Cmentarz Komunalny",50.2566085,19.1692547
"Niwka Fabryka",50.2429238,19.1594609
"Niwka Kościół",50.2379076,19.1567046
"Niwka Kościół",50.2390851,19.1582132
"Wilhelmina Skrzyżowanie",50.2545758,19.09408
"Wilhelmina Zespół Szkół",50.2549567,19.0856973
"Wilhelmina Zespół Szkół",50.2552029,19.0857459
"Józefowiec Szpital",50.2840636,19.0136585
"Jęzor Centrum Handlowe",50.2283453,19.1723442
"Jęzor Jaworznicka",50.2332937,19.1621529
"Koszutka GIG",50.2711179,19.0247552
"Mysłowice Komenda Policji",50.2427894,19.1383379
"Mysłowice Szpital",50.2470969,19.1343244
"Mysłowice Targ Miejski",50.2557071,19.131684
"Mysłowice Targ Miejski",50.2563325,19.1327672
"Mysłowice Świerczyny",50.2510481,19.1295147
"Siemianowice Plac Skargi",50.3001064,19.0272852
"Siemianowice Plac Wolności",50.3061041,19.0257094
"Sosnowiec Jagiellońska Kościół",50.2695901,19.1290854
"Sosnowiec Jagiellońska",50.2671548,19.1344505
"Sosnowiec Jagiellońska-Milmex",50.2668904,19.1356529
"Sosnowiec Kościelna",50.272264,19.1289021
"Sosnowiec Radocha",50.2610978,19.1376764
"Sosnowiec Radocha",50.2633831,19.1384167
"Wełnowiec Gnieźnieńska",50.282667,19.0195815
"Wełnowiec Gnieźnieńska",50.2833301,19.0191921
"Wełnowiec Plac Alfreda",50.2925448,19.0138213
"Wełnowiec Plac Alfreda",50.2927084,19.0155413
"Bytków Kapicy",50.3035479,19.0097899
"Bytków Osiedle Młodych",50.3066213,19.0103005
"Józefowiec Szczecińska",50.279022,19.0158988
"Koszutka Iłłakowiczówny",50.2748275,19.0221665
"Koszutka Kino Kosmos",50.2684559,19.0196777
"Koszutka Kościół",50.2716081,19.0189751
"Michałkowice Kościół",50.3188362,19.0033223
"Michałkowice Park Górnik",50.315106,19.0036744
"Zawodzie Ośrodek Sportowy",50.2594261,19.0560221
"Zawodzie Paderewskiego",50.2577531,19.0383654
"Zawodzie Paderewskiego",50.2583717,19.0423142
"Brzezinka Centrum",50.2057134,19.1582979
"Brzezinka Dworcowa",50.198386,19.1597414
"Brzęczkowice Kościół",50.2224797,19.153768
"Brzęczkowice Kościół",50.2234327,19.1530685
"Brzęczkowice Ogródki Działkowe n/ż",50.2114618,19.157227
"Brzęczkowice Szkoła",50.2167812,19.1572501
"Brzęczkowice Słupna",50.2294576,19.1446157
"Dębowa Góra WSO",50.263328,19.1487777
"Dębowa Góra Wiadukt",50.2675188,19.1476629
"Kosztowy Dzióbka",50.1912899,19.1627017
